date	Box Office Average per US Cinema (Opening Weekend)	Audience  score %	Budget	Worldwide Gross	Profitability
20110101	4616	4800	2800	4055	1448.1
20110105	3517	9300	800	3651	4563.9
20110109		8900	2000	897	448.6
20110113	4506	7100	1900	3404	1791.8
20110117	3504	4600	3500	8207	2344.8
20110121	2841	4300	800	275	343.8
20110125	3856	6600	3000	1419	473
20110129		7400	20	177	8855
20110201	2615	3100	500	2556	5112.4
20110204	3731	4900	4000	4574	1143.4
20110207	3537	8200	15000	14741	982.7
20110210	8405	6200	5500	16300	2962.6
20110213	10365	3800	2000	21620	10809.8
20110216	10411	5000	7000	21182	3026
20110220	5047	5000	1700	2883	1696.1
20110224	28268	8000	320	1431	4471.9
20110229	8995	7700	3250	28838	8873.3
20110301	17512	7500	14000	36840	2631.5
20110305	16072	5600	20000	55185	2759.3
20110309	20198	6100	1000	686	686.1
20110313	3982	5500	4000	6097	1524.1
20110317	3324	3400	9000	4880	542.2
20110321	6935	6300	6000	13546	2257.6
20110325	9715	5000	16300	17482	1072.5
20110329	6326	8100	5000	14284	2856.8
20110401	7500	6300	2100	7242	3448.4
20110405	5461	8100	3700	8795	2376.9
20110409	3089	3700	2500	3155	1261.8
20110413	3055	3800	5000	3850	770
20110417	3929	7900	1500	6701	4467.1
20110421	2265	3800	4500	2893	642.9
20110425		2800	2000	463	231.7
20110429	3652	5300	500	271	542.2
20110501	3820	6200	4000	4599	1149.8
20110505	23655	8300	12500	62613	5009
20110509	5715	5600	4000	15789	3947.2
20110513	4383	7100	2400	6205	2585.5
20110517	6364	6800	3500	14954	4272.6
20110521	2477	6800	3000	3710	1236.7
20110525	8469	5200	3600	19397	5388
20110529	13935	4800	20000	21985	1099.3
20110531	4588	4400	3600	8316	2310
20110603	4880	6700	3000	6378	2126
20110606	5889	5900	13500	10651	788.9
20110609	38672	9200	12500	132811	10624.9
20110612		6800	700	38	54.6
20110615	10490	5000	6300	18395	2919.9
20110618	9310	7200	3500	20964	5989.7
20110621	8899	8400	15000	9668	644.5
20110624	6167	5700	6000	14450	2408.3
20110627	10349	5900	7500	18249	2433.1
20110701	3860	5500	4000	12739	3184.8
20110705	5511	6500	150	9701	64672.7
20110709	5873	8400	3500	7319	2091.1
20110713	7273	5900	7900	12493	1581.4
20110717		7700	0	3015	0
20110721	2470	5500	4500	15794	3509.8
20110725	8601	6300	8000	21495	2686.8
20110729	3132	4800	7000	5296	756.6
20110801	12142	8000	15000	66302	4420.2
20110805	4405	4600	3000	5241	1746.9
20110809	6860	7300	2700	16185	5994.4
20110813		7100	3000	110	36.8
20110817		7300	350	887	2534
20110821	2218	4300	15000	3899	259.9
20110825	6177	8400	1700	14866	8744.7
20110829	8672	8600	14500	68878	4750.2
20110901	6516	8900	5000	10810	2162
20110905	3014	5000	2000	3966	1983.2
20110909	5524	5400	5500	18736	3406.5
20110913	7174	8400	1000	826	825.8
20110917		4400	300	0	0
20110921	3714	4800	5600	14204	2536.4
20110925	6512	5700	2500	14770	5908
20110929	2955	5400	1500	5524	3682.7
20111001	2744	7900	500	2482	4963.2
20111005	15829	5800	500	20190	40379.4
20111009	4655	7000	4000	9798	2449.6
20111013	21697	6100	25000	104387	4175.5
20111017	5221	3700	6000	7831	1305.1
20111021	8623	7600	13000	52226	4017.4
20111025	9722	6900	13500	24515	1816
20111029	7942	8100	11000	26981	2452.8
20111103	4622	4100	4200	8916	2122.9
20111106		5900	400	110	276
20111109	10252	7300	9000	48463	5384.8
20111112	15024	8700	9300	48123	5174.5
20111115	3390	3900	3000	10860	3620
20111118	5656	5700	4000	9714	2428.4
20111121	3769	3200	4000	9160	2290
20111124	34952	8000	650	1396	2147.7
20111127	2995	2500	2500	3870	1548.1
20111201	10704	7900	12500	52196	4175.7
20111205	4802	0	3500	6018	1719.5
20111209	4789	7900	1800	4427	2459.3
20111213	5002	8100	3200	12328	3852.4
20111217	3534	4000	2700	7408	2743.7
20111221	6284	4800	8200	8979	1095
20120101	10492	7800	20	25971	5194.3
