origin,carrier,count
Quantity,Action,24
Quantity,Adventure,1
Quantity,Animation,10
Quantity,Comedy,17
Quantity,Drama,14
Quantity,Fantasy,2
Quantity,Horror,13
Quantity,Romance,9
Quantity,Thriller,7
Profitbility(%),Action,5502
Profitbility(%),Adventure,64.45
Profitbility(%),Animation,2873.71
Profitbility(%),Comedy,6735.49
Profitbility(%),Drama,1940.72
Profitbility(%),Fantasy,1947.99
Profitbility(%),Horror,12918.16
Profitbility(%),Romance,3017.88
Profitbility(%),Thriller,2469.86
Budget,Action,2078
Budget,Adventure,150
Budget,Animation,1239
Budget,Comedy,501.7
Budget,Drama,320.5
Budget,Fantasy,125.2
Budget,Horror,337.5
Budget,Romance,325
Budget,Thriller,237.5
BoxOffice,Action,192901
BoxOffice,Adventure,8899
BoxOffice,Animation,87414
BoxOffice,Comedy,134772
BoxOffice,Drama,87722
BoxOffice,Fantasy,38672
BoxOffice,Horror,62056
BoxOffice,Romance,47000
BoxOffice,Thriller,32753
